id,description_chi,year,month,day
plxh-0001,"河北省廣大人民群眾經過七年艱苦奮戰，取得了治理海河的巨大成績，基本上控制了海河流域的洪澇炎害，扭轉了這個地區長期缺糧的歷史。
因為海河支流新子牙河上新建的穿又工程。",1970,11,25
plxh-0002,"毛主席的光輝哲學思想已成為中國社會主義革命和社會主義建設向前發展的強大推動力。
圖為北京化工三廠甲醛車間的工人在學習《矛盾論》。",1970,11,25
plxh-0003,一九七〇年，河北省遵化縣花生獲得豐收，單位面積產量和總產量均超過歷史最高水平。圖為馬蘭峪公社石各莊大隊社員在翻曬花生。,1970,12,4
plxh-0004,廣州縫紉機廠生產的 '華南牌' 縫紉機，不但能滿足本地的需要，而且還運往外地。,1970,11,25
plxh-0005,"中國廣大量貧下中農用毛主席的哲學思想改天換地，促進了農業生產的發展。
這是吉林省東風縣臥牛三隊的社員與解放軍毛澤東思想宣傳隊的同志一起，在田頭學習毛主席哲學思想。",1970,11,25
plxh-0006,浙江省嘉善農機修造廠工人，以沖天的革命幹勁，提前七個月完成全年電耕犁生產任務。為實現農業機械化作出了新貢獻。,1970,11,25
plxh-0007,狠抓革命，猛促生產，迎接四屆人大召開' —— 浙江省平湖縣全塘公社貧下中農提出了這樣的口號。這是他們正在選揀豐收新棉。,1970,11,25
plxh-0008,"青海省汽車配件廠工人遵照毛主席關於 '打破洋框框，走自己工業發展道路' 的教導，大搞群眾運動，自行設計製造了 '青海湖' 牌載重汽車，結束了青海省只能修配不能製造汽卓的歷史。
圖為工人門正在裝配 '青海湖' 牌載重汽車。",1970,11,25
plxh-0009,寧夏回族自治區銀川棉紡織廠革命工人在提前五十三天完成一九七〇年生產任務後，又以更大的革命幹勁，投入了新的戰鬥。,1970,11,25
plxh-0010,"浙江省繼一九六九年全省糧食跨《綱要》後，今年水稻又獲豐收。
圖為海鹽縣沉落盪公社社員喜收晚稻。",1970,12,4
plxh-0011,陝西省咸陽市鹼灘大隊改鹼灘為良田，一九七〇年在遭受旱災的情況下，糧食畝產達到七百斤以上。圖為豐收場上一角。,1970,12,4
plxh-0012,"西蒙高原的農業生產一九七〇年又獲得豐收。
這是東嘎人民公社社員正在精選良種。",1970,11,25
plxh-0013,"遼寧省提前八十天超額完成了一九七〇年煤灰生產計劃。
圖為阜新礦務局邱煤礦 '八一' 掘進隊正在採煤。",1970,11,25
plxh-0014,"遼寧省鞍鋼廣大工人，深入開展群眾性的技術革新運動，使鋼鐵生產出現持續上升的大好形勢。
這是大批優質鋼材正在外運。",1970,11,25
plxh-0015,上海市郊南匯縣泥城人民公社社員，滿懷豐收的喜悅，向國家交售新棉。,1970,12,4
plxh-0016,中國著名葡萄產地——新疆維吾爾自治區吐魯番幸福大隊社員喜談豐收體會。,1970,12,4
plxh-0017,"一九七〇年，中國農業連續第九年獲得豐收。
圖為安徽省一個農場正在收小麥。",1971,1,21
plxh-0018,提前兩個月完成一九七〇年生產計劃的上海重型機器廠，正在成批製造大型純氧頂吹轉爐。,1971,1,21
plxh-0019,大批工農兵大學生，跨進了新型的社會主義大學。圖為清華大學老工人進修班的學員在上繪圖課。,1971,1,21
plxh-0020,隨著工農業生產的飛躍發展，中國城鄉市場呈現一派繁榮景象。圖為上海人民在選購各種棉布。,1971,1,21
plxh-0021,在毛主席的 '以糧為綱，全面發展' 方針指引下，廣東省一九七〇年甘蔗產量比一九六九年增產三成多。圖為東莞縣中堂公社甘蔗豐收。,1971,1,21
plxh-0022,中國人民執行偉大領袖毛主席關於 '獨立自主、自力更生、艱苦奮鬥、勤儉建國' 的方針，勝利完成了發展國民經濟的第三個五年計劃。石油工業提前兩年完成了第三個五年計劃。至為大慶煉油廠一角。,1971,1,21
plxh-0023,西藏隆子縣列表公社廣大社員以大寨為榜樣，開山造田，興修水利，糧食連年豐收。圖為社員們正在打場。,1971,1,21
plxh-0024,內蒙古包頭市無線電元件廠的工人在設備十分簡陋的條件下，自己製造設備，為國家生產了大批電子產品。這是工人在安裝一台生產電子產品的設備。,1971,1,21
plxh-0025,中國人民解故軍海軍某部 '海上先鋒艇' 指戰員百倍警惕地巡邏在祖國海防線上，以實際行動響應毛主席 '提高警惕，保衛祖國' 的偉大號召。,1971,1,21
plxh-0026,湖南省南部地區修建的歐陽海港區工程，可灌溉農田四萬八千公項。圖為該灌區的一條灌渠。,1971,1,21
plxh-0027,上海第六人民醫院骨科醫生陳中偉（中）和同志們在毛主席光輝哲學思想指引下，正在研究如何進一步接好肢體血管。中國的斷肢再植術有了新發展。,1971,1,21
plxh-0028,在遼寧省長海縣獐子公社 '三八號' 運洋漁船上參加勞動的五名女知識青年，經過兩年的艱苦磨練，掌握了捕魚技術。圖為她們正在捕魚。,1971,2,18
plxh-0029,為了充分發揮女工在生產鬥爭、階級鬥爭和科學實驗三大革命鬥爭中的作用，北京第一機床廠建立了托兒所和幼兒園，以減輕女工的家務負擔、促生產中作出更多的貢獻。,1971,2,18
plxh-0030,糧、棉產量超過《全國農業發展綱要》規定指標的浙江省，一九七〇年又獲得農業新豐收。圖為肖山縣社員在翻曬新棉。,1971,1,21
plxh-0031,中國南部某海島女民兵，苦練殺敵本領，隨時準備殲滅入侵之敵。,1971,2,18
plxh-0032,中國乒乓球隊女子隊隊員們，戒驕戒躁，認真總結經驗，苦練過硬本領，決心為偉大社會主義祖國的體育事業作出新貢獻。,1971,2,18
plxh-0033,天津市第二毛紡織廠細紗車間女工，結合生產鬥爭、階級鬥爭和科學實驗的實踐，學習毛主席的哲學思想，批判劉少奇的修正主義路線。,1971,2,18
plxh-0034,中共中央委員、內蒙古自治區烏審召公社革委會主任寶日勒岱，經常深入實際，調查研究，密切聯繫群眾，受到廣大牧民的愛戴。國為寶日勒岱（右一）在貧下中牧家裡同他們親切交談。,1971,2,18
plxh-0035,大慶油田 “青年女子井組” 是由兩年前參加工作的十二名女青年組成的，她們在革命鬥爭中鍛煉成長，被譽為大慶管好油井的 ”鐵姑娘”。,1971,2,18
plxh-0036,湖南省株洲縣長嶺林場的知識青年，同貧下中農一起開山劈嶺，艱苦創業，建設社會主義新農村。,1974,8,2
plxh-0038,中國廣大農村婦女自力更生、艱苦奮鬥，在發展農業生產中起了巨大的作用。這是廣東省羅定縣旗垌大隊的 '鐵站娘” 班在開荒造田。,1971,2,18
plxh-0039,十月一日。北京人民在天壇公園舉行盛大遊園聯歡活動，熱烈慶祝中華人民共和國成立二十四周年。,1973,10,1
plxh-0040,北京人民在頤和園舉行盛大遊團聯歡，熱烈慶祝  '五一' 國際勞動節。,1974,5,1
plxh-0041,中央民族學院各民族師生在北京中山公園參加慶祝  “五一” 國際勞動節的遊園活動。,1974,5,1
plxh-0042,"新疆十月拖位機廠的各族革命工人，以毛主席的哲學思想為武器，狠抓革命，猛促生產，提前五十五天超額完成了一九七〇年生產計劃。
這是工人檢驗自行設計製造的 “紅十月” 40型拖拉機。",1970,11,25
plxh-0043,中共中央委員、沉陽市革命委員會副主任李素文同志（右一），經常深入到基層單位，保持和群眾的密切聯繫。這是她和瀋陽市東方紅副食品商店的工作人員一起交談學習毛主席著作的體會。,1971,2,18
plxh-0044,新疆生產的優質毛線在烏魯木齊市場上受到顧客的歡迎。,1970,12,30
plxh-0045,"中國廣大女民兵響應毛主席關於 “提高警惕，保衛祖國” 的偉大號召，從思想上、物質上、組織上進一步加強戰備。
圖為廣西壯族自治區一個生產大隊女民兵們在學習時事。",1971,2,18
plxh-0046,上海無線電十七廠十九歲的女工余婉貞（左），在老工人和領導幹部的幫助和支持下，試製成功一種高級電子元件，為我國電於工業的發展作出了貢獻。,1971,2,18
plxh-0047,湖南省衡陽縣上峰公社的衛生人員同解放軍醫務工作者一起跋山涉水，到山村去為貧下中農治病。,1971,2,18
plxh-0048,中國人民解放軍空軍某部女飛行員，用毛主席的光輝思想改造自己的世界觀，鞏固地樹立為人民服務的思想。這是她們和戰友們一起學習毛主席著作。,1971,2,18
plxh-0049,遵照毛主席關於 '要從有實踐經驗的農民中間選拔學生' 的教導，清華大學已招收了近千名工農兵學員，其中許多是女學員。這是女學員在研究電子計算機線路板。,1971,2,18
plxh-0051,這是越南北方交通運輸線上的一座炸不斷的橋樑。美國強盜的九十九架飛機，在橋的周圍被越南軍民擊落。如今，這座橋依然的岣立，運輸暢通。橋的上端寫著： '一切為了戰勝美國侵略強盜！' ,1970,11,23
plxh-0052,武漢市武漢肉類聯合加工廠加工的大批豬肉正運往市場。,1970,12,30
plxh-0053,北京市一九七〇年蔬菜上市量比一九六九年顯著增長。圖為北京郊區蔬菜正運往城市。,1970,12,30
plxh-0054,"山東省濱縣楊柳雪大隊連續八年獲得了糧棉雙豐收。
這是社員們在採摘新棉。",1970,12,4
plxh-0055,"西藏自治區邢郝曲縣紅旗人民公社革命和生產形勢越來越好，今年更是一派豐收景象。
這是公社的羊群。",1970,12,4
plxh-0056,浙江省黃麻主要產區——肖山縣今年黃麻又獲得好收成。,1970,12,4
plxh-0057,"革命大批判肅清劉少奇反革命修正主義路線的餘毒，煥發起中國工人階級極大的積極性和造性。
這是上海造船廠的工人正在召開現場批判會。",1970,11,25
plxh-0058,中共中央委員、沉陽市革命委員會副主任李素文堅持參加勞動，密切聯繫群眾。圖為李素文（右二）回到原來所在的副食商店賣菜。,1970,12,30
plxh-0059,中國自行設計製造的第一台超重型立式車床，只用了七個月時間，今年在武漢重型機床廠就製成功。工人們熱烈慶祝這台機床的誕生。,1970,11,25
plxh-0060,"安徽省固鎮縣瓦坊大隊社員，運用毛主席哲學思想，在大面積的低窪地上種植水稻，獲得了畝產八百多斤的好收成。
這是社員翻曬稻穀，準備向國家交售。",1970,12,4
plxh-0061,"遼寧省盤錦地區廣大貧下中農在鹽鹼地上開荒造田，奪得了糧食豐收，為改變南糧北調作出了貢獻。
圖為盤錦地區生產的大批糧食外運。",1970,11,25
plxh-0062,英勇的阿爾巴尼亞人民，在以恩維爾·霍查為首的阿爾巴尼亞勞動黨的領導下，一手拿搶，一手拿鎬，堅持不懈地同帝修反進行針鋒相對的鬥爭，勝利地保衛了偉大的社會主義祖國。圖為阿爾巴尼亞軍民聯防，緊握手中搶，築成保衛祖國的鐵壁銅牆。,1970,12,12
plxh-0063,"北京印染廠廣大工人大搞群眾性技術革新運動，不斷提高生產能力，一九七〇年提前三個多月完成國家生產計劃。
圖為整裝車間工人正在檢驗成品。",1970,11,25
plxh-0064,在越南人民的偉大領袖胡志明主席逝世一周年的時候，千百萬越南人民決心更加勇敢地戰鬥，實現胡志明主席的遺囑。連年獲得 '決戰決勝' 稱號的某連指戰員說： “只要人在就要堅守陣地，決心抗擊美國強盜直到完全勝利。' ,1970,11,23
plxh-0065,英國倫敦示威者舉著寫有 '全世界人民團結起來，打敗美國侵略者及其一切走狗！' 的毛主席語錄牌，前往美國大使館，抗議美帝國主義的侵略政策和戰爭政策。,1970,12,12
plxh-0066,拉丁美洲人民，在美國的後院點燃了反美熊熊烈火。圖是委內瑞拉學生，拿著寫有 “尼克松是屠殺柬埔寨人民的割子手' 的巨幅標語，在加拉加斯示威，強烈抗議美帝國主義擴大侵略印度支那戰爭的罪行。,1970,12,12
plxh-0067,意大利人民在羅馬示威，抗議戰爭瘟神尼克松到意大利進行陰謀活動。,1970,12,12
plxh-0068,"非洲人民反對新老殖民主義鬥爭的烈火越燒越旺。
圖是堅持武裝鬥爭的莫三鼻給愛國務裝力量戰士在加緊訓練。",1970,12,12
plxh-0069,英雄的巴勒斯坦人民，不怕威脅，不受欺騙，進行武裝鬥爭，堅持反對美帝國主義和猶太復國主義的侵略。,1970,12,12
plxh-0070,美國人民不斷覺醒，反對美帝國主義內外政策的革命群眾運動，一浪高一浪，沉重地衝擊著美國壟斷資本集團的統治。圖為紐約群眾集會，抗議尼克松政府推行侵略政策和戰爭政策。,1970,12,12
plxh-0071,朝鮮人民堅決反對美日反動派復活日本軍國主義，反對美帝國主義霸占南期鮮，英勇地回擊了美帝國主義的戰爭挑釁。圖為朝鮮元山市人民舉行反美集會。,1970,12,12
plxh-0072,日本人民在東京舉行聲勢浩大的集會和示威，堅決反對日美 '安全條約' 和日美 '聯合公報' ，強烈抗議美日反動派復活日本軍國主義的罪行。,1970,12,12
plxh-0073,北京市平谷縣南宅大隊用毛主席的哲學思想指導種田，糧、棉產量不斷提高，今年又獲得大豐收。,1970,12,4
plxh-0074,天津市場上，肉類、水果、罐頭等食品供應充足，一片繁榮。圖為顧客在選購水果。,1970,12,30
plxh-0075,廣州市輕工業部門積極發展地方輕工業，使市場出售的日用工業品更豐富多采。圖為顧客在選購本地生產的縫印機。,1970,12,30
plxh-0076,越南的女民兵，在抗美救國的鬥爭中立下了豐功偉績。這是處在越南海防前哨的仁澤鄉女民兵，迎著海風，在海岸上巡邏。,1970,11,23
plxh-0077,山西省平順縣西溝大隊社員在今年糧食獲得豐收以後，繼續發揚艱苦奮鬥精神，治山造田。,1970,11,25
plxh-0078,在無產階級文化大革命中誕生的西藏第一個毛紡廠——林芝毛紡廠的各族工人團結一致，為建設新西藏作出了貢獻，今年以來，這個廠的生產指標月月刷新。圖為漢族女工（左）向藏族女工傳授接頭技術。,1970,11,16
plxh-0079,"居住著壯族、漢族、苗族等六種民族的廣西隆林各族自治縣人民高舉 “九大” 團結、勝利的旗幟，以大寨為榜樣，自力更生，大搞農田基本建設，改變了山區面貌。
這是各族社員在水利工地上狠批大叛徒劉少奇的 “山區落後論”。",1970,11,16
plxh-0080,"海南島黎族苗族自治州華北大隊獲得了七十年代第一個早稻豐收。
這是社員們準備把最好的糧食交售給國家，用實際行動支援世界革命。",1970,11,16
plxh-0081,"軍民團結如一人，試看天下誰能敵？'
吉林省延邊朝鮮族老大娘正在給野營訓練的解放軍戰士送水。",1970,11,16
plxh-0082,"中國各族人民無限熱愛偉大領袖毛主席。
這是苗族貧下中農在黨的九屆二中全會公報發表後，懷著深厚的無產階級感情喜看毛主席像。他們決心以 “抓革命，促生產' 的新勝利向毛主席報喜。",1970,11,16
plxh-0083,"在黨的 '九大' 精神的光輝指引下，新疆烏魯木齊市八道
灣煤礦各族工人，在很短的時間內，自力更生，新建一口斜井。
這是他們歡慶新井投產。",1970,11,16
plxh-0084,"寧夏回族自治區吳忠縣廣大貧下中農用毛澤東思想改天換地，把鹽鹼湖灘改造成排灌暢通、連年高產的米糧川。
這是古城大隊社員正在加強田間管理，誓奪今年農業更大豐收。",1970,11,16
plxh-0085,新疆伊犁哈薩克自治州活學活用毛澤東思想積極分子江格力西（右三）一家，在舉辦家庭毛澤東思想學習班。,1970,11,16
plxh-0086,"在毛主席的無產階級革命路線指引下，內蒙古自治區的貧下中牧經過艱苦奮戰，畜牧業生產連年獲得豐收。
這是錫林郭勒盟白音烏拉大隊領導成員和支左解放軍戰士一起剪羊毛。",1970,11,16
plxh-0087,廣州海珠肉菜市場的售貨員正在準備南方臘味，迎接顧客。,1970,12,30
plxh-0088,"內蒙古自治區烏審召公社黨支部書記寶日勒岱（左二）密切聯繫群眾，堅持參加集體生產勞動，受到群眾的好評。
這是她和社員們一起下地勞動。",1970,11,16
plxh-0089,包頭市商店的售貨員推著流動服務車，把商品送到包頭鋼鐵公司工地上，方便工人群眾。,1970,12,30
plxh-0090,新疆維吾爾自治區一九七〇年畜牧業獲得大幅度增產，保證了牛羊肉的充分供應。圖為烏魯木齊市的居民在購買羊肉。,1970,12,30
plxh-0091,棉布、服裝、呢絨、塑料製品等日用工業品品種繁多，充分滿足了廣大人民的需要。圖為北京市的一個百貨商場。,1970,12,30
plxh-0092,新出廠的自行車和摩托車受到顧客歡迎。,1970,12,30
plxh-0093,隨著農村購買力的不斷提高，銷售農村的日用工業品連年增長。圖為公社社員在浙江省平湖縣百貨公司選購商品。,1970,12,30
plxh-0109,追剿隊和民兵由李勇奇帶路，迎風破雪，登山崖、躍斜坡，飛速前進。,1970,11,21
plxh-0095,西藏自治區革命委員會委員、翻身農奴次仁拉姆（前右）、巴桑（前左）、央宗（前中）和革委會其他成員在一起交流用毛澤東思想建設新西藏的體會。,1970,11,16
plxh-0102,楊子榮英武矯健，勇敢豪邁，在茫茫林海雪原中，飛槍打虎。,1970,11,21
plxh-0107,楊子榮打入匪窟，以無產階級的革命智慧和勇敢，智鬥群魔。,1970,11,21
plxh-0098,"在黨的 “九大' 精神鼓舞下，中國各族人民活學活用毛澤東思想的群眾運動繼續深入發展。
這是北京針織廠革命工人暢談學習毛主席哲學思想的體會。",1970,11,16
plxh-0099,"雲南省西雙版納傣族自治州團結寨各族人民，在毛主席關於 '團結起來，爭取巨大的勝利' 的偉大號召指引下，共同建設社會主義新農村，糧食連年豐收。
這是各族人民活躍在水利工地上。",1970,11,16
plxh-0100,河北省臨西縣東留善固大隊黨支部書記呂玉蘭，朝氣篷勃地同廣大社員一起沿著毛主席指引的社會主義道路前進。,1970,11,16
plxh-0108,李勇奇盼到了救星解放軍，激情滿懷，決心跟定共產黨掃平威虎山。,1970,11,21
plxh-0096,楊子榮胸懷朝陽，頂天立地，英勇機智地隻身戰斗在匪巢。,1970,11,21
plxh-0094,獵戶女兒常寶懷著對敵人的深仇大恨，堅決要求參加攻打威虎山的戰鬥。,1970,11,21
plxh-0097,楊子榮機智沉著，抓住敵人的虛弱本質主動進攻，處死半路逃生跑到威虎山的土匪樂平。,1970,11,21
plxh-0103,為了拍攝好革命現代京劇《智取威虎山》彩色彩片，北影攝製組的同志在駐廠解放軍毛澤東思想宣傳隊的領導下，遇抓階級教育，通過憶苦思情，大大提高了階級覺悟和為工農兵服務的自覺性。這是攝製組的同志在參現天津三條石階級教育展覽會。,1970,11,21
plxh-0101,導演和演員一起細心研究怎樣拍好表現無產階級英雄人物的鏡頭。,1970,11,21
plxh-0104,攝製人員和文藝工作者發揮革命幹勁，夜以繼日地進行工作。圖為他們在拍攝偵察排長楊子榮深山問苦一場戲。,1970,11,21
plxh-0105,這是在拍攝《智取威虎山》中楊子榮計送情報的現場。,1970,11,21
plxh-0106,攝製人員經過反覆試驗，製成富有雪的質感的冰花樹等積雪物。圖為置景工人正在試製冰花樹。,1970,11,21
plxh-0110,柬埔寨人民，在國家元首諾羅教·西哈努克親王和柬埔寨民族統一陣線的領導下，拿起武器，英勇戰鬥，已經解放了全國近三分之二的國土和近一半的人口。圖為被柬埔寨民族解放武裝力量炸毀的橋樑，以破壞敵人的運輸。,1970,12,12
plxh-0111,越南南方愛國軍民，為解放南方，保衛北方，進而和平統一祖國，與老撾人民和柬埔寨人民並肩戰鬥，把世界上最兇惡的美帝國主義打得焦頭爛額。圖為越南南方人民解放武裝力量戰士砲擊谷拜的美偽軍。,1970,12,12
plxh-0112,老撾愛國軍民，與越南人民和柬埔寨人民齊心協力，英勇抗擊美國侵略強盜，取得了偉大勝利。圖為老撾人民解放軍防空部隊戰士，嚴陣以待，時刻準備懲罰美國空中強盜。,1970,12,12
plxh-0113,越南北方人民，邊戰鬥，邊生產，決心實現胡志明主席的遺囑，同老撾人民和柬埔寨人民緊密團結，互相支持，把抗美救國戰爭進行到底。,1970,12,12
plxh-0114,金星紅旗的光輝照耀著邊海河兩岸，它鼓舞著千百萬越南人民為徹庭打敗美國侵略者而勇敢戰鬥！,1970,11,23
plxh-0115,在戰火紛飛的日子裡，越南人民堅持自力更生精神努力發展工業生產，支援抗美救國戰爭。這是為對付敵人轟炸而建立起來的山洞工廠。,1970,11,23
plxh-0116,英雄的越南人民軍戰士。,1970,11,23
plxh-0117,年輕的越南人民軍空軍，在偉大的抗美救國戰爭中屢建戰功。戰鬥英雄黎海已擊落了五架美園強盜飛機。,1970,11,23
plxh-0118,越南民兵配合越南人民軍狠狠打擊美國侵略強盜。這是越南北方前哨——水靈特區的民兵們正在巡邏。,1970,11,23
plxh-0119,“歌聲壓倒炸彈聲！' 這是越南人民的充滿著革命樂觀主義精神的豪邁口號。這是廣平省廣寧縣寶寧鄉青年坐在美帝國主義的炸彈殼上高唱抗美救國歌曲。,1970,11,23
plxh-0120,越南高射砲部隊某部戰士堅守在戰鬥崗位上。這個高射砲連隊連續幾年被評為英雄單位，幾年來，他們擊落了數十架美國侵略強盜飛機。,1970,11,23
plxh-0121,在戰鬥的歲月裡，越南廣平省安水鄉美露農業合作社社員一面在田間勞動，一面警惕地守衛天空。,1970,11,23
plxh-0125,周恩來同志為團長、葉劍英和邱會作同志為副團長的中國黨政代表團，圓滿地結束了對英雄的越南民主共和國的友好訪問。滿載著兄弟的越南人民對中國人民的深情厚誼，三月八日下午乘專機離開河內回國。圖為在主席府花園裡舉行隆重的歡送儀式。,1971,3,10
plxh-0126,"中共中央政治局常委、國務院總理周恩來同志為團長，中共中央政治局委員、中共中央軍委副主席葉劍英同志和中共中央政治局委員、中國人民解放軍副總參謀長邱會作同志為副團長的中國黨政代表團，在圓滿地結束了對越南民主共和國的友好訪問以後，三月八日乘專機到達北京。
西哈努克親王和夫人，賓努首相和夫人，越南民主共和國駐中國大使館臨時代辦黎俊同志，越南南方共和駐中國大使館參贊陳平同志到機場歡迎中國黨政代表團。
我國黨政領導同志黃永勝、姚文元、李先念、吳法憲、李作鵬、紀登奎、李德生、汪東興、郭沫若前往機場迎接。",1971,3,10
plxh-0127,中國黨政代表團團長周恩來同志和副團長葉劍英同志，三月七日下午在范文同同志、黎清毅同志的陪同下，訪問了河內 '三·八' 縫織廠，受到全廠職工極其熱烈的歡迎。,1971,3,10
plxh-0128,周恩來同志為團長、葉劍英和邱會作同志為副團長的中國黨政代表團三月五日到達河內時，在市中心的芝靈公園廣場舉行了隆重的歡迎儀式。,1971,3,10
plxh-0129,"中國黨政代表團在訪問越南期間，同越南勞動黨和越南民主共和國政府代表團，就當前印度支那局勢和中越兩國共同關心的問題在主席府進行了會談。
會談是在極為親切友好的氣氛中進行的，充分體現了中越兩國人民的兄弟友誼和戰鬥團結。",1971,3,10
plxh-0130,周恩來同志為團長、葉劍英和邱會作同志為副團長的中國黨政代表團，應越南勞動黨和越南民主共和國政府的邀請，三月五日下午乘專機到達河內，對兄弟鄰邦越南民主共和國進行友好訪問。圖是中國黨政代表團乘車進入河內市區時，受到成千上萬群眾的極為隆重、熱烈的夾道歡迎。,1971,3,10
plxh-0131,越南首都河內市各界人民代表，三月六日晚在巴亭會堂舉行極其隆重的盛大集會，最熱烈地歡迎周恩來同志為團長、葉劍英和邱會作同志為副團長的中國黨政代表團。圖為黎筍同志在會上致開幕詞。,1971,3,10
plxh-0132,中國黨政代表團副團長邱會作同志，在武元甲同志和馮世才同志陪同下，三月七日下午訪問了越南人民軍防空空軍某部。,1971,3,10
plxh-0133,中國黨政代表團三月五日下午拜訪了越南民主共和國主席、越南勞動黨中央委員會、越南民主共和國國會和越南民主共和國政府。,1971,3,10
plxh-0134,中國黨政代表團三月七日晚上在河內迎賓館舉行盛大宴會，最熱誠地感謝越南勞動黨中央委員會和越南民主共和國政府對代表團的極其隆重熱烈的歡迎和接待。,1971,3,11
plxh-0135,越南勞動黨中央委員會和越南民主共和國政府三月五日晚舉行盛大宴會，熱烈歡迎周恩來同志為團長、葉劍英和邱會作同志為副團長的中國黨政代表團。,1971,3,10
plxh-0136,河內市行政委員會主席陳維興同志，代表河內市人民，向中國黨政代表團贈送一幅嵌刻著越中偉大友誼的締造者胡主席和毛主席親切握手的光輝形象的磨漆畫。圖為周恩來同志和葉劍英同志莊嚴地接受河內市各界人民的這一珍貴禮物。,1971,3,10
plxh-0137,越南首都河內市各界人民代表，三月六日晚在巴亭會堂舉行極其隆重的盛大集會，最熱烈地歡迎周恩來同志為團長、葉劍英和邱會作同志為副團長的中國黨政代表團。圖為周恩來同志在集會上講話，與會代表全體起立，熱烈鼓掌。,1971,3,10
plxh-0138,中國共產黨中央委員會、中華人民共和國政府和越南勞動黨中央委員會、越南民主共和國政府聯合會報的簽字儀式，三月八日上午在主席府隆重舉行。圖為周恩來同志和范文同同志分別代表兩國黨和政府在聯合公報上簽字。,1971,3,11
plxh-0139,中國人民解放軍文藝工作者同北京工農兵一起，在頤和園的昆明湖上舉行聯歡會，熱烈慶祝 “五一' 國際勞動節。,1971,5,1
plxh-0140,北京人民熱烈慶祝 “五一' 國際勞動節，歡呼毛主席革命路線的偉大勝利，歡呼無產階級文化大革命的偉大勝利。圖為他們在演出革命現代舞劇《紅色娘子軍》片斷。,1971,5,1
plxh-0141,北京人民隆重集會，熱烈慶祝 '五一' 國際勞動節，慶祝世界人民革命鬥爭的輝煌勝利，決心同全世界無產階級和被壓迫人民、被壓迫人民聯合起來，打敗美國侵略者及其一切走狗。,1971,5,1
plxh-0142,在國內外一片大好形勢下，北京工人和其他革命人民迎來了全世界無產者團結戰鬥的節日 —— '五一' 國際勞動節。他們決心在黨的 '九大' 團結、勝利的路線指引下，更加刻苦地學習，更加努力地工作，奪取社會主義革命和社會主義建設的更大勝利。,1971,5,1
plxh-0143,十月一日，中國人民解放軍駐京部隊宣傳隊在頤和園向北京群眾、外國朋友演奏革命樂曲，共同歡度國慶。,1971,5,1
plxh-0144,來自反對帝、修、反斗爭前哨的阿爾巴尼亞同志，五月一日參加了北京人民的遊園聯歡活動，同中國人民一起慶祝全世界無產階級團結戰鬥的節日—— '五一' 國際勞動節。,1971,5,1
plxh-0145,非洲朋友和中國人民一起在北京勞動人民文化宮歡度 '五一' 國際勞動節。這是他們在觀看文藝演出。,1971,5,1
plxh-0146,在偉大的中華人民共和國成立二十二週年的光輝節日里，北京郊區人民公社民兵在天壇公園演出歌舞《一定要解放台灣》。,1971,10,1
plxh-0147,十月一日，北京煤礦工人在頤和園的昆明湖上演出表現 '工業學大慶' 的文藝節目。,1971,10,1
plxh-0148,十月一日，北京廣大軍民滿懷勝利的豪情，聚集在北京六個公園和兩個體育館熱烈歡慶中華人民共和國成立二十二週年。這是革命群眾在中山公園載歌載舞的歡樂景象。,1971,10,1
